"","Year","2.5%","mean","97.5%","se_mean","n_eff","Rhat"
"",1647,384594.790308026,440380.253215084,498950.615234722,265.38277028973,12136.6467129793,1.00194480360769
"mu[1]",1648,387866.378048314,443587.492824747,502052.249864857,274.087978792607,11352.8689074232,1.00209276609069
"mu[2]",1649,390827.646749705,446754.910114208,505246.185893546,282.996448357586,10683.1919467539,1.00224811352059
"mu[3]",1650,396907.331580169,453039.754364696,511598.391588259,291.358177968013,10121.6317812467,1.00243000133964
"mu[4]",1651,402239.757719114,458877.026228909,517753.268807186,304.105112818262,9420.5975912146,1.0027191465439
"mu[5]",1652,406236.439423056,463783.480187825,523340.209906223,327.639144387975,8333.86303314182,1.00311400807963
"mu[6]",1653,408593.5231863,467329.404498605,527727.029787753,357.059706696748,7258.97315073883,1.00360660617555
"mu[7]",1654,409599.214704346,469703.389716516,531057.972078371,386.612271201378,6413.88499108984,1.00407561104662
"mu[8]",1655,408076.801567239,469515.7088623,531797.445424528,413.502155739017,5801.50419556447,1.00446613059161
"mu[9]",1656,406431.018843545,468921.740675101,531951.097785707,437.145820371288,5363.19371607539,1.00473514718177
"mu[10]",1657,405161.926457522,468896.655843883,532796.803672991,458.721818805088,5025.46553749836,1.00494854391161
"mu[11]",1658,404009.418907627,468952.593753305,533641.00214796,478.401863778212,4762.90320242437,1.00513410210207
"mu[12]",1659,404070.865116242,469962.414665556,535447.763126065,495.937546656581,4551.46607968457,1.00531656309176
"mu[13]",1660,404175.160622059,471108.471803381,537620.48232188,514.45200906326,4352.77297207117,1.00553303287749
"mu[14]",1661,404028.98936927,472105.246956217,539439.554209445,534.286971426872,4161.64565474923,1.00573616220494
"mu[15]",1662,405618.667948833,474944.04964799,543278.263702073,553.489054757294,4000.09701083194,1.00596562812575
"mu[16]",1663,404864.461006701,475584.686489541,544886.379708872,574.791525638153,3840.93920951258,1.00622811603102
"mu[17]",1664,403283.789300339,475492.203913513,545775.003570436,594.553605789694,3711.5235641861,1.00644779962534
"mu[18]",1665,402212.549052882,475845.70549473,547002.537468936,612.278448577988,3605.06671817125,1.00661636035015
"mu[19]",1666,401195.076701159,476102.107384345,548110.101200916,630.309236308724,3506.8059240026,1.00679493447412
"mu[20]",1667,401956.189806609,477949.99393559,550807.25526147,645.682826987707,3431.77004327189,1.00692266687527
"mu[21]",1668,403143.007871389,480397.53389055,554217.945251876,661.920238764526,3358.04284085911,1.0070512249711
"mu[22]",1669,402704.561034533,481463.724319086,556156.629278768,678.777472559225,3289.35200332911,1.00718230293073
"mu[23]",1670,401954.239833472,482134.782067418,557717.099078003,693.835798307373,3231.8509563762,1.00731287839948
"mu[24]",1671,402733.032057618,483846.327734646,560184.765332928,706.472725685783,3186.79399532282,1.00738337322085
"mu[25]",1672,403185.415252511,485641.542321133,562648.111409711,720.634235115514,3135.60173035284,1.00746590286426
"mu[26]",1673,405785.674849546,489320.911509576,567226.529629308,733.260028212369,3094.24432850333,1.00752474337293
"mu[27]",1674,406453.185033533,491097.969774456,569777.259438209,746.623961765177,3051.13526709344,1.00758165895453
"mu[28]",1675,397825.522278563,484164.60897755,563345.396272285,763.370849935659,3004.1987296009,1.00764819844646
"mu[29]",1676,387510.199635518,475553.997325864,555310.88180929,779.561196300353,2969.11423279899,1.00771688049299
"mu[30]",1677,381610.447141865,470753.584309387,551204.36067996,791.355396999094,2943.78143413108,1.00775338515315
"mu[31]",1678,376160.733122087,466412.432905647,547408.044662959,802.140037475678,2922.10775749618,1.00778675630441
"mu[32]",1679,372944.866794325,463907.417107613,545701.900861792,810.48375014851,2909.04722407863,1.00780487506417
"mu[33]",1680,373245.665443095,464973.429263479,547359.726320163,818.613855309059,2893.75856909064,1.00782564788236
"mu[34]",1681,374835.548596274,467057.302156816,549950.419335064,825.673852348848,2880.12546800707,1.00783164834211
"mu[35]",1682,376730.627808699,469632.786497274,553044.461238304,830.957280985276,2873.8774843199,1.00781676661221
"mu[36]",1683,379011.671713509,472217.519193303,556074.534950261,835.345593746436,2868.17607937914,1.007796879156
"mu[37]",1684,381768.922495745,475287.570305988,559426.354263805,838.806327581903,2863.69972759697,1.00778656920614
"mu[38]",1685,384872.257597218,478316.388127522,562694.970274631,841.560178734669,2859.69214445449,1.00775496734275
"mu[39]",1686,386426.734398726,480224.850729957,564794.378565611,843.855406678644,2856.84935819871,1.00773528675463
"mu[40]",1687,388097.596870443,482085.706994816,566806.530962778,844.41970445838,2859.81129631094,1.00769475555334
"mu[41]",1688,388428.079801421,482703.53207007,567340.853075182,843.74049703062,2868.97714384767,1.0076345280296
"mu[42]",1689,392878.737912235,486979.133071583,571669.796795805,842.321414956143,2871.34725842857,1.00759296583917
"mu[43]",1690,394576.457223562,488562.336158933,573150.698597708,839.728595721239,2882.15766194724,1.00752206874783
"mu[44]",1691,392380.632901305,486899.614704548,571193.252269784,837.140465129517,2895.55892360893,1.00743730497346
"mu[45]",1692,388913.987555987,483673.416611296,567468.264302849,832.983823830387,2921.62039818855,1.00730031013509
"mu[46]",1693,390320.5997755,484926.523669101,568371.815946988,826.699020738564,2950.53566296208,1.0071791227748
"mu[47]",1694,387935.132165565,482690.704806467,565678.718527122,820.308155420879,2986.47664698731,1.00703105172786
"mu[48]",1695,389082.781466738,483989.312155077,566789.602265761,812.921577971544,3020.74194574187,1.00690403694965
"mu[49]",1696,379852.208343988,475839.503811558,558016.939874372,802.561395739262,3106.66920722403,1.00669774127648
