        [,1]       [,2]
mu_1647 1647 25.9675188
        1648 25.7414543
        1649 25.6110311
        1650 25.3158931
        1651 25.1730866
        1652 25.2496640
        1653 25.4924055
        1654 25.8586078
        1655 26.3506932
        1656 26.7678096
        1657 27.2202575
        1658 27.6427905
        1659 27.9547670
        1660 28.3258166
        1661 28.6822834
        1662 28.9843816
        1663 29.4420579
        1664 29.9670979
        1665 30.4279279
        1666 30.8578816
        1667 31.1436484
        1668 31.4479003
        1669 31.8719896
        1670 32.3069119
        1671 32.5416820
        1672 32.8354727
        1673 32.9928378
        1674 33.2569232
        1675 34.1866941
        1676 35.2853058
        1677 36.0260483
        1678 36.7158548
        1679 37.2395499
        1680 37.4460238
        1681 37.4932305
        1682 37.5429141
        1683 37.4960386
        1684 37.3789350
        1685 37.1767970
        1686 37.1425269
        1687 37.0699507
        1688 37.0647326
        1689 36.7143162
        1690 36.5509635
        1691 36.7247404
        1692 36.9162891
        1693 36.7171535
        1694 36.8234948
        1695 36.7170961
        1696 37.4421901
        1697 37.2385994
        1698 37.0319144
        1699 35.8107311
        1700 34.9312328
        1701 34.0939727
        1702 33.4198800
        1703 32.8244006
        1704 32.5301864
        1705 31.9490006
        1706 31.3005858
        1707 30.8678865
        1708 30.1371185
        1709 30.1225382
        1710 30.2336623
        1711 29.5615441
        1712 28.7262088
        1713 28.1227405
        1714 27.8063485
        1715 27.3613422
        1716 27.1357706
        1717 26.9199830
        1718 26.4530834
        1719 25.9933822
        1720 25.4700077
        1721 24.7120999
        1722 23.8911283
        1723 22.8723219
        1724 21.8532027
        1725 20.8519178
        1726 19.9230161
        1727 18.9259265
        1728 17.9347986
        1729 16.9383923
        1730 15.9791637
        1731 15.0436202
        1732 14.2670329
        1733 13.5008687
        1734 12.6702075
        1735 11.9111431
        1736 11.1122146
        1737 10.1692922
        1738  9.3300286
        1739  8.4451622
        1740  7.2982815
        1741  6.6153664
        1742  5.7938661
        1743  5.2154994
        1744  4.6127819
        1745  4.0040456
        1746  3.4380833
        1747  2.8758475
        1748  2.2811086
        1749  1.7536268
        1750  1.6749347
        1751  1.4407072
        1752  1.4748147
        1753  1.4320470
        1754  1.3039981
        1755  1.5080651
        1756  1.4920657
        1757  1.3012463
        1758  1.4837354
        1759  1.4912673
        1760  1.2871783
        1761  1.3624475
        1762  1.2735941
        1763  1.0909195
        1764  1.2744852
        1765  1.2791015
        1766  1.0803098
        1767  1.2268311
        1768  1.1826890
        1769  1.0047273
        1770  1.1804545
        1771  1.1616135
        1772  0.9795349
        1773  1.1387014
        1774  1.1346722
        1775  0.9814675
        1776  1.2068580
        1777  1.3661877
        1778  1.3751115
        1779  1.2849840
        1780  1.1330735
        1781  1.4150706
        1782  1.6482786
        1783  1.8502596
        1784  2.0133348
        1785  2.1532957
        1786  2.2580857
        1787  2.3381038
        1788  2.4066472
        1789  2.5087989
        1790  2.6399467
        1791  2.7227542
        1792  2.5981432
        1793  2.4642447
        1794  2.3992348
        1795  2.2146642
        1796  2.0047307
        1797  1.7598089
        1798  1.5297510
        1799  1.2544814
        1800  0.9568380
        1801  1.0982077
        1802  1.2058388
        1803  1.2208630
        1804  1.1792652
        1805  1.0423501
        1806  1.2811161
        1807  1.3880546
        1808  1.1574070
        1809  1.2766115
        1810  0.9935322
        1811  1.2061744
        1812  1.2465573
        1813  1.2240424
        1814  1.1086501
        1815  0.8685612
        1816  1.0015728
        1817  1.0615900
        1818  1.0432657
        1819  0.9403647
        1820  0.7499981
        1821  0.9670656
        1822  1.0567035
        1823  1.0617931
        1824  0.9489882
        1825  0.7362513
        1826  0.9175780
        1827  1.0056664
        1828  1.0096272
        1829  0.9111699
        1830  0.7249773
        1831  0.9054816
        1832  0.9713934
        1833  1.0708506
        1834  0.8985136
        1835  0.6751442
        1836  0.9137609
        1837  1.0442388
        1838  1.0207549
        1839  0.8791293
        1840  0.6567948
        1841  0.8430484
        1842  0.9293983
        1843  0.9262661
        1844  0.8183038
        1845  0.6125716
        1846  0.8094548
        1847  0.9008772
        1848  0.8917452
        1849  0.8024977
        1850  0.6609229
             2.5% 97.5%
 1648   0.7  -0.3   1.7
 1649   0.7  -0.3   1.6
 1650   1.4   0.3   2.6
 1651   1.3   0.1   2.7
 1652   1.1  -0.2   2.5
 1653   0.8  -0.5   2.1
 1654   0.5  -0.7   1.7
 1655   0.0  -1.2   1.0
 1656  -0.1  -1.2   0.9
 1657   0.0  -1.1   1.0
 1658   0.0  -1.0   0.9
 1659   0.2  -0.7   1.1
 1660   0.2  -0.7   1.2
 1661   0.2  -0.8   1.1
 1662   0.6  -0.4   1.5
 1663   0.1  -1.0   1.1
 1664   0.0  -1.1   0.9
 1665   0.1  -0.9   0.9
 1666   0.0  -1.0   0.9
 1667   0.4  -0.6   1.2
 1668   0.5  -0.5   1.4
 1669   0.2  -0.8   1.1
 1670   0.1  -0.8   1.0
 1671   0.4  -0.5   1.1
